Gaussian Kernel at high T with OUTCAR starting conditions
temperature (K);total energy (eV);Ion 1 x-position (A);Ion 1 x-velocity (A/fs);Ion 1 x-force;
1720.657050836942;-287.7565628577201;0.46055538;0.0165896;-0.16728443
1686.9985987652665;-288.2926972491179;6.06038670e-01;9.14163969e-03;-5.43066927e+00
1822.7280159798129;-286.10561561666486;0.60731281;-6.37089978e-03;-1.83652538e+00
1927.056126011841;-284.40521901060987;5.34324443e-01;-6.81392950e-03;6.37735306e-01
1800.925357930476;-286.45299526983575;4.73225008e-01;-0.00584678;-0.10250215
2019.9440000834975;-282.9819880007292;0.41226292;-0.00627785;-1.21944112e-01
2282.8173862012372;-278.67056356597857;3.46606307e-01;-6.82535072e-03;-3.39768054e-02
2238.053447072867;-279.3686594295538;0.28008666;-6.40250785e-03;1.36609667e-01
2756.50806252975;-270.87790850877434;0.21927425;-5.52659876e-03;5.59962929e-01
2362.431952476256;-277.7183694530665;0.17581195;-3.28436419e-03;3.82143983e-01
2874.437469535718;-269.42305133635443;0.14333992;-3.82038649e-03;-5.70102348e-01
3110.717635379469;-265.55879893640264;9.80896100e-02;-4.78104284e-03;6.74487895e-02
3419.904661645271;-260.37467168261077;0.05261726;-4.06259667e-03;0.50104942
3731.983607780394;-255.23537004778916;0.02364809;-1.32241193e-03;1.29898871e+00
3640.1933405528216;-256.6929253113073;3.42292806e-02;3.04092651e-03;7.62351175e-01
4616.948858519164;-240.8202201747527;0.0710573;3.52343967e-03;-5.44393589e-01
4090.001798878603;-249.24847220449504;0.08918757;-5.58516074e-04;-1.64197381e+00
4797.837766835907;-237.7783054597324;0.05959096;-4.40663514e-03;1.19788443e-01
6645.19353735156;-208.06087126086973;0.03892005;1.08979666e-03;1.35620508e+00
5961.182756539716;-219.75555870340216;0.05625381;1.31065236e-03;-3.62417718e-01
6222.021581035106;-215.45882536408885;0.06811822;-3.18093176e-04;-2.51061521e+00
6822.284733788084;-205.4966311463844;1.05463447e+01;-0.01360574;-1.82029791e+00
5997.296106034722;-219.42557650888165;10.39321869;-0.01525646;7.66691188e-01
6139.04524160666;-217.65491042400924;10.25345605;-1.17275982e-02;2.17771059e+00
8114.124121554403;-185.07521048044708;10.17878827;-2.39550708e-03;3.49462219e+00
7323.468753902428;-198.19976054917902;10.18993913;-0.00034789;-4.23883357e+00
8316.400516940477;-182.72888461370147;10.10339523;-1.67556915e-02;-4.57605908e+00
7903.209437779851;-190.08792610713257;9.88192495;-2.37491689e-02;1.71026612e+00
7699.595904109004;-193.20298367253662;9.71691233;-7.34070867e-03;5.15663585e+00
8080.142056254429;-187.59237779743847;9.73041903e+00;0.00886117;3.63059391e+00
8971.275266652769;-174.0636612518939;9.85600956e+00;1.34798080e-02;-6.17733489e-01
11096.41555432562;-138.9497648949059;9.97420634;9.67502793e-03;-1.61568877e+00
13835.23242330709;-96.84758056819759;10.03438658;2.09687715e-03;-2.35585386e+00
13950.436332028808;-95.99233992598948;10.02059877;-3.56110276e-03;-9.70652511e-01
19407.54167760309;-9.778619395771301;9.98279217;-0.00362206;-2.72570181
23471.987373452717;56.64453801344496;9.91466041;0.00748549;1.84819768e+01
30767.453507793667;173.02240512448722;9.79355427;-0.05689533;-8.84355875
30687.376717574414;166.7217971218542;9.41773478;-0.01198249;4.64659553
38615.3073596808;291.8192016555713;9.39206203;0.01160529;7.69620769e+00
41475.12418091026;329.5501020242993;9.46270348e+00;-0.01341656;-1.83659168e+01
46551.53883466807;411.36080472969076;9.10053949;-0.03616367;8.59451544e+00
54425.031134874305;542.4918547580523;8.79203197e+00;-0.02228575;2.49929834e+00
52733.1127511012;502.74540368490557;8.47154842;-0.02602952;19.10642595
53043.61672066201;506.64098508860064;8.54850036;1.47657521e-02;-0.67914491
59302.119584979315;615.6744587569806;8.90816018;0.06850608;1.06584136e+01
59768.42537549542;600.7798154535917;9.08082058;-0.06144155;-2.79061262e+01
57022.07121443772;540.1039555541506;8.91973728;0.01318773;-1.54872451e+01
65567.27871145564;671.4540938827497;8.79582804e+00;-0.03947208;-3.73465239e+00
68251.03395787119;707.0084354626347;8.04049362;-8.04705146e-02;1.83164809
63036.654722517975;625.2655303734309;7.52091575;-4.00854989e-02;-10.1380667
71950.75099953437;767.4807348687978;7.17137147;0.00403162;23.85269518
63969.60669691709;626.8124888578882;6.98112645;-4.03805938e-02;62.18329337
62407.62310117118;593.0097583337683;7.18902650e+00;0.03759111;-23.00274205
63858.13245817284;622.449883985365;7.02546649;-0.02601903;15.02593073
74998.55175772245;778.1625963014453;6.89626135e+00;0.03035466;2.14547281e+01
83990.86960225466;920.5951373055518;7.30448745;1.14700231e-02;-4.58896849e+00
79838.2103424572;833.7722023648018;7.80771022;0.01888713;-29.29317722
78720.45420648356;817.7139870210283;8.03500634;-4.96623566e-02;-68.56261111
77016.06591267137;791.149112403856;7.58660998e+00;0.02926641;115.39835366
69552.74423215313;643.4231683115195;7.72062364;-1.30311474e-01;-1.52136318e+01
77332.72010890885;745.0759511685353;6.93403365;-0.02042737;4.35652519e+01
74176.99472112463;694.8706798938292;7.0925183;-0.05261555;-6.21635032e+01
74769.08640537139;687.2829900311956;6.48498142e+00;-5.04623720e-02;1.01311831e+01
77231.08609693887;719.7746907518151;6.17200859e+00;-0.02341488;-6.68537173
79111.86966343835;751.1673598690923;5.88344914;-2.83503402e-02;6.56011461e-01
70725.4543347037;616.9059851329339;6.01864160e+00;0.05110226;4.48300546e+00
91960.64339791653;957.8147687070855;6.60034874;0.07637866;-9.44695127e+00
